driver_id,coef_rapm,target_definition,alpha,decay,season,round,race_name,race_order,n_train_rows,n_train_races
sainz,-0.46148321415534926,-finish_position,10.0,0.97,2018,12,Hungarian Grand Prix,12,170,11
sirotkin,-1.6110807464913839,-finish_position,10.0,0.97,2018,12,Hungarian Grand Prix,12,170,11
stroll,-0.8469671485847227,-finish_position,10.0,0.97,2018,12,Hungarian Grand Prix,12,170,11
vandoorne,-1.209878209079836,-finish_position,10.0,0.97,2018,12,Hungarian Grand Prix,12,170,11
vettel,1.321073803808039,-finish_position,10.0,0.97,2018,12,Hungarian Grand Prix,12,170,11
alonso,0.6492935777669371,-finish_position,10.0,0.97,2018,13,Belgian Grand Prix,13,187,12
bottas,0.8763544329288224,-finish_position,10.0,0.97,2018,13,Belgian Grand Prix,13,187,12
brendon_hartley,-0.986503501050229,-finish_position,10.0,0.97,2018,13,Belgian Grand Prix,13,187,12
ericsson,-0.9763433281524613,-finish_position,10.0,0.97,2018,13,Belgian Grand Prix,13,187,12
gasly,-0.36735176110976914,-finish_position,10.0,0.97,2018,13,Belgian Grand Prix,13,187,12
grosjean,-0.6690814963790931,-finish_position,10.0,0.97,2018,13,Belgian Grand Prix,13,187,12
hamilton,1.7534406054998009,-finish_position,10.0,0.97,2018,13,Belgian Grand Prix,13,187,12
hulkenberg,0.42756270986409434,-finish_position,10.0,0.97,2018,13,Belgian Grand Prix,13,187,12
kevin_magnussen,0.07876643727651018,-finish_position,10.0,0.97,2018,13,Belgian Grand Prix,13,187,12
leclerc,-0.6138018396609476,-finish_position,10.0,0.97,2018,13,Belgian Grand Prix,13,187,12
max_verstappen,0.9363644848508952,-finish_position,10.0,0.97,2018,13,Belgian Grand Prix,13,187,12
ocon,0.015589792084895386,-finish_position,10.0,0.97,2018,13,Belgian Grand Prix,13,187,12
perez,-0.6327813603395858,-finish_position,10.0,0.97,2018,13,Belgian Grand Prix,13,187,12
raikkonen,1.2090517776638678,-finish_position,10.0,0.97,2018,13,Belgian Grand Prix,13,187,12
ricciardo,1.1289611534271218,-finish_position,10.0,0.97,2018,13,Belgian Grand Prix,13,187,12
sainz,-0.38639285186181205,-finish_position,10.0,0.97,2018,13,Belgian Grand Prix,13,187,12
sirotkin,-1.658283906330466,-finish_position,10.0,0.97,2018,13,Belgian Grand Prix,13,187,12
stroll,-1.0110644393093995,-finish_position,10.0,0.97,2018,13,Belgian Grand Prix,13,187,12
vandoorne,-1.1787365871882785,-finish_position,10.0,0.97,2018,13,Belgian Grand Prix,13,187,12
vettel,1.404956100019095,-finish_position,10.0,0.97,2018,13,Belgian Grand Prix,13,187,12
alonso,0.6767722065314535,-finish_position,10.0,0.97,2018,14,Italian Grand Prix,14,202,13
bottas,0.8691597856005863,-finish_position,10.0,0.97,2018,14,Italian Grand Prix,14,202,13
brendon_hartley,-1.1488294314507823,-finish_position,10.0,0.97,2018,14,Italian Grand Prix,14,202,13
ericsson,-0.9446846140200879,-finish_position,10.0,0.97,2018,14,Italian Grand Prix,14,202,13
gasly,-0.28968545309951843,-finish_position,10.0,0.97,2018,14,Italian Grand Prix,14,202,13
grosjean,-0.5678074213542958,-finish_position,10.0,0.97,2018,14,Italian Grand Prix,14,202,13
hamilton,1.7850436146765383,-finish_position,10.0,0.97,2018,14,Italian Grand Prix,14,202,13
