RaceID,season,round,race_name,driver_id,constructor_id,finish_position,is_dnf,safety_car_flag,qualifying_position,constructor_coef_rapm,recent_form_5,driver_constructor_synergy,constructor_wins_total,driver_coef_rapm,track_complexity,tire_compound_start,season_factor,avg_pit_stops_circuit,constructor_dnf_rate,grid_penalty,altitude_m
hamilton_2026_3,2026,3,Japanese Grand Prix,hamilton,ferrari,6.0,False,1,6,3.163895217348746,8.8,-6.95,19.0,0.6714518084898562,0.4474979062596848,2.0,2026,1.511764705882353,0.0406976744186046,0,5.0
gasly_2026_3,2026,3,Japanese Grand Prix,gasly,alpine,7.0,False,1,7,-1.707451681972125,14.066666666666666,-11.59322033898305,1.0,0.1835621517783473,0.4474979062596848,2.0,2026,1.511764705882353,0.0486725663716814,0,5.0
driver_3_2026_2026_3,2026,3,Japanese Grand Prix,driver_3_2026,unknown_2026,8.0,False,1,11,0.0,0.0,0.0,0.0,0.0,0.4474979062596848,2.0,2026,1.511764705882353,0.0,0,5.0
lawson_2026_3,2026,3,Japanese Grand Prix,lawson,rb,9.0,False,1,14,-0.3976997788432501,10.6,-11.409090909090908,0.0,-0.7265870732436397,0.4474979062596848,2.0,2026,1.511764705882353,0.0,0,5.0
ocon_2026_3,2026,3,Japanese Grand Prix,ocon,haas,10.0,False,1,12,-2.7089837511112766,12.0,-12.409090909090908,0.0,0.8661295886481036,0.4474979062596848,2.0,2026,1.511764705882353,0.0494186046511627,0,5.0
hulkenberg_2026_3,2026,3,Japanese Grand Prix,hulkenberg,sauber,11.0,False,1,13,-2.9272066045437106,10.066666666666666,-11.526315789473683,0.0,0.7834122337237496,0.4474979062596848,2.0,2026,1.511764705882353,0.0367647058823529,0,5.0
hadjar_2026_3,2026,3,Japanese Grand Prix,hadjar,rb,12.0,False,1,8,-0.3976997788432501,9.6,-10.55,0.0,0.0056392664574038,0.4474979062596848,2.0,2026,1.511764705882353,0.0,0,5.0
bortoleto_2026_3,2026,3,Japanese Grand Prix,bortoleto,sauber,13.0,False,1,9,-2.9272066045437106,13.6,-13.444444444444445,0.0,-0.2305153729084123,0.4474979062596848,2.0,2026,1.511764705882353,0.0367647058823529,0,5.0
driver_41_2026_2026_3,2026,3,Japanese Grand Prix,driver_41_2026,unknown_2026,14.0,False,1,10,0.0,0.0,0.0,0.0,0.0,0.4474979062596848,2.0,2026,1.511764705882353,0.0,0,5.0
sainz_2026_3,2026,3,Japanese Grand Prix,sainz,williams,15.0,False,1,16,-2.464089130575294,6.466666666666667,-10.27777777777778,0.0,1.7430581562085834,0.4474979062596848,2.0,2026,1.511764705882353,0.0495626822157434,0,5.0
