constructor_id,coef_rapm,target_definition,alpha,decay,season,round,race_name,race_order,n_train_rows,n_train_races
williams,-3.681995468080719,-finish_position,10.0,0.97,2019,6,Monaco Grand Prix,27,419,26
alfa,-1.8218044257643635,-finish_position,10.0,0.97,2019,7,Canadian Grand Prix,28,438,27
ferrari,3.478085589677134,-finish_position,10.0,0.97,2019,7,Canadian Grand Prix,28,438,27
force_india,-0.06851882822115753,-finish_position,10.0,0.97,2019,7,Canadian Grand Prix,28,438,27
haas,-0.7120018484992787,-finish_position,10.0,0.97,2019,7,Canadian Grand Prix,28,438,27
mclaren,-0.7136674754288842,-finish_position,10.0,0.97,2019,7,Canadian Grand Prix,28,438,27
mercedes,3.770589983999164,-finish_position,10.0,0.97,2019,7,Canadian Grand Prix,28,438,27
racing_point,-0.7895079308117127,-finish_position,10.0,0.97,2019,7,Canadian Grand Prix,28,438,27
red_bull,2.826332893916721,-finish_position,10.0,0.97,2019,7,Canadian Grand Prix,28,438,27
renault,-0.3036969930941602,-finish_position,10.0,0.97,2019,7,Canadian Grand Prix,28,438,27
sauber,-0.8629263392984065,-finish_position,10.0,0.97,2019,7,Canadian Grand Prix,28,438,27
toro_rosso,-1.161339008521176,-finish_position,10.0,0.97,2019,7,Canadian Grand Prix,28,438,27
williams,-3.6415456179538874,-finish_position,10.0,0.97,2019,7,Canadian Grand Prix,28,438,27
alfa,-1.982005011364448,-finish_position,10.0,0.97,2019,8,French Grand Prix,29,456,28
ferrari,3.6270050251907398,-finish_position,10.0,0.97,2019,8,French Grand Prix,29,456,28
force_india,-0.017498872777357167,-finish_position,10.0,0.97,2019,8,French Grand Prix,29,456,28
haas,-0.8679283958655277,-finish_position,10.0,0.97,2019,8,French Grand Prix,29,456,28
mclaren,-0.7143057529759854,-finish_position,10.0,0.97,2019,8,French Grand Prix,29,456,28
mercedes,3.8099321067838474,-finish_position,10.0,0.97,2019,8,French Grand Prix,29,456,28
racing_point,-0.7697254930218873,-finish_position,10.0,0.97,2019,8,French Grand Prix,29,456,28
red_bull,2.765370427226798,-finish_position,10.0,0.97,2019,8,French Grand Prix,29,456,28
renault,-0.13123636774446476,-finish_position,10.0,0.97,2019,8,French Grand Prix,29,456,28
sauber,-0.8639466895222047,-finish_position,10.0,0.97,2019,8,French Grand Prix,29,456,28
toro_rosso,-1.1164223600571532,-finish_position,10.0,0.97,2019,8,French Grand Prix,29,456,28
williams,-3.739238615872361,-finish_position,10.0,0.97,2019,8,French Grand Prix,29,456,28
alfa,-1.898994207400384,-finish_position,10.0,0.97,2019,9,Austrian Grand Prix,30,475,29
ferrari,3.654256125325459,-finish_position,10.0,0.97,2019,9,Austrian Grand Prix,30,475,29
force_india,0.028443295598602855,-finish_position,10.0,0.97,2019,9,Austrian Grand Prix,30,475,29
haas,-0.9208072280094655,-finish_position,10.0,0.97,2019,9,Austrian Grand Prix,30,475,29
mclaren,-0.5381596420618789,-finish_position,10.0,0.97,2019,9,Austrian Grand Prix,30,475,29
mercedes,3.9023435012325813,-finish_position,10.0,0.97,2019,9,Austrian Grand Prix,30,475,29
racing_point,-0.8895926098311675,-finish_position,10.0,0.97,2019,9,Austrian Grand Prix,30,475,29
red_bull,2.73353151507768,-finish_position,10.0,0.97,2019,9,Austrian Grand Prix,30,475,29
renault,-0.19118800981858175,-finish_position,10.0,0.97,2019,9,Austrian Grand Prix,30,475,29
sauber,-0.8534808055320222,-finish_position,10.0,0.97,2019,9,Austrian Grand Prix,30,475,29
toro_rosso,-1.216370650501542,-finish_position,10.0,0.97,2019,9,Austrian Grand Prix,30,475,29
williams,-3.809981284079273,-finish_position,10.0,0.97,2019,9,Austrian Grand Prix,30,475,29
alfa,-1.711746278090714,-finish_position,10.0,0.97,2019,10,British Grand Prix,31,495,30
ferrari,3.7564708701248612,-finish_position,10.0,0.97,2019,10,British Grand Prix,31,495,30
force_india,0.05474942993733923,-finish_position,10.0,0.97,2019,10,British Grand Prix,31,495,30
haas,-1.1010397706876893,-finish_position,10.0,0.97,2019,10,British Grand Prix,31,495,30
mclaren,-0.36905558041292724,-finish_position,10.0,0.97,2019,10,British Grand Prix,31,495,30
mercedes,3.920101002785566,-finish_position,10.0,0.97,2019,10,British Grand Prix,31,495,30
racing_point,-0.985908817496838,-finish_position,10.0,0.97,2019,10,British Grand Prix,31,495,30
red_bull,2.8298339196386064,-finish_position,10.0,0.97,2019,10,British Grand Prix,31,495,30
renault,-0.2985507947131687,-finish_position,10.0,0.97,2019,10,British Grand Prix,31,495,30
sauber,-0.8466931669220703,-finish_position,10.0,0.97,2019,10,British Grand Prix,31,495,30
toro_rosso,-1.379551090897024,-finish_position,10.0,0.97,2019,10,British Grand Prix,31,495,30
williams,-3.8686097232659487,-finish_position,10.0,0.97,2019,10,British Grand Prix,31,495,30
