RaceID,season,round,driver_id,constructor_id,finish_position
sainz_2018_20,2018,20,sainz,renault,12
gasly_2018_20,2018,20,gasly,toro_rosso,13
vandoorne_2018_20,2018,20,vandoorne,mclaren,14
ocon_2018_20,2018,20,ocon,force_india,15
sirotkin_2018_20,2018,20,sirotkin,williams,16
alonso_2018_20,2018,20,alonso,mclaren,17
stroll_2018_20,2018,20,stroll,williams,18
hamilton_2018_21,2018,21,hamilton,mercedes,1
vettel_2018_21,2018,21,vettel,ferrari,2
max_verstappen_2018_21,2018,21,max_verstappen,red_bull,3
ricciardo_2018_21,2018,21,ricciardo,red_bull,4
bottas_2018_21,2018,21,bottas,mercedes,5
sainz_2018_21,2018,21,sainz,renault,6
leclerc_2018_21,2018,21,leclerc,sauber,7
perez_2018_21,2018,21,perez,force_india,8
grosjean_2018_21,2018,21,grosjean,haas,9
kevin_magnussen_2018_21,2018,21,kevin_magnussen,haas,10
alonso_2018_21,2018,21,alonso,mclaren,11
brendon_hartley_2018_21,2018,21,brendon_hartley,toro_rosso,12
stroll_2018_21,2018,21,stroll,williams,13
vandoorne_2018_21,2018,21,vandoorne,mclaren,14
sirotkin_2018_21,2018,21,sirotkin,williams,15
bottas_2019_1,2019,1,bottas,mercedes,1
hamilton_2019_1,2019,1,hamilton,mercedes,2
max_verstappen_2019_1,2019,1,max_verstappen,red_bull,3
vettel_2019_1,2019,1,vettel,ferrari,4
leclerc_2019_1,2019,1,leclerc,ferrari,5
kevin_magnussen_2019_1,2019,1,kevin_magnussen,haas,6
hulkenberg_2019_1,2019,1,hulkenberg,renault,7
raikkonen_2019_1,2019,1,raikkonen,alfa,8
stroll_2019_1,2019,1,stroll,racing_point,9
kvyat_2019_1,2019,1,kvyat,toro_rosso,10
gasly_2019_1,2019,1,gasly,red_bull,11
norris_2019_1,2019,1,norris,mclaren,12
perez_2019_1,2019,1,perez,racing_point,13
albon_2019_1,2019,1,albon,toro_rosso,14
giovinazzi_2019_1,2019,1,giovinazzi,alfa,15
russell_2019_1,2019,1,russell,williams,16
kubica_2019_1,2019,1,kubica,williams,17
hamilton_2019_2,2019,2,hamilton,mercedes,1
bottas_2019_2,2019,2,bottas,mercedes,2
leclerc_2019_2,2019,2,leclerc,ferrari,3
max_verstappen_2019_2,2019,2,max_verstappen,red_bull,4
vettel_2019_2,2019,2,vettel,ferrari,5
norris_2019_2,2019,2,norris,mclaren,6
raikkonen_2019_2,2019,2,raikkonen,alfa,7
gasly_2019_2,2019,2,gasly,red_bull,8
albon_2019_2,2019,2,albon,toro_rosso,9
perez_2019_2,2019,2,perez,racing_point,10
giovinazzi_2019_2,2019,2,giovinazzi,alfa,11
kvyat_2019_2,2019,2,kvyat,toro_rosso,12
kevin_magnussen_2019_2,2019,2,kevin_magnussen,haas,13
stroll_2019_2,2019,2,stroll,racing_point,14
russell_2019_2,2019,2,russell,williams,15
kubica_2019_2,2019,2,kubica,williams,16
hamilton_2019_3,2019,3,hamilton,mercedes,1
bottas_2019_3,2019,3,bottas,mercedes,2
vettel_2019_3,2019,3,vettel,ferrari,3
max_verstappen_2019_3,2019,3,max_verstappen,red_bull,4
leclerc_2019_3,2019,3,leclerc,ferrari,5
gasly_2019_3,2019,3,gasly,red_bull,6
ricciardo_2019_3,2019,3,ricciardo,renault,7
perez_2019_3,2019,3,perez,racing_point,8
raikkonen_2019_3,2019,3,raikkonen,alfa,9
albon_2019_3,2019,3,albon,toro_rosso,10
grosjean_2019_3,2019,3,grosjean,haas,11
stroll_2019_3,2019,3,stroll,racing_point,12
kevin_magnussen_2019_3,2019,3,kevin_magnussen,haas,13
sainz_2019_3,2019,3,sainz,mclaren,14
giovinazzi_2019_3,2019,3,giovinazzi,alfa,15
russell_2019_3,2019,3,russell,williams,16
kubica_2019_3,2019,3,kubica,williams,17
bottas_2019_4,2019,4,bottas,mercedes,1
hamilton_2019_4,2019,4,hamilton,mercedes,2
vettel_2019_4,2019,4,vettel,ferrari,3
max_verstappen_2019_4,2019,4,max_verstappen,red_bull,4
leclerc_2019_4,2019,4,leclerc,ferrari,5
perez_2019_4,2019,4,perez,racing_point,6
sainz_2019_4,2019,4,sainz,mclaren,7
norris_2019_4,2019,4,norris,mclaren,8
stroll_2019_4,2019,4,stroll,racing_point,9
raikkonen_2019_4,2019,4,raikkonen,alfa,10
albon_2019_4,2019,4,albon,toro_rosso,11
giovinazzi_2019_4,2019,4,giovinazzi,alfa,12
kevin_magnussen_2019_4,2019,4,kevin_magnussen,haas,13
hulkenberg_2019_4,2019,4,hulkenberg,renault,14
russell_2019_4,2019,4,russell,williams,15
kubica_2019_4,2019,4,kubica,williams,16
hamilton_2019_5,2019,5,hamilton,mercedes,1
bottas_2019_5,2019,5,bottas,mercedes,2
max_verstappen_2019_5,2019,5,max_verstappen,red_bull,3
vettel_2019_5,2019,5,vettel,ferrari,4
leclerc_2019_5,2019,5,leclerc,ferrari,5
gasly_2019_5,2019,5,gasly,red_bull,6
kevin_magnussen_2019_5,2019,5,kevin_magnussen,haas,7
sainz_2019_5,2019,5,sainz,mclaren,8
kvyat_2019_5,2019,5,kvyat,toro_rosso,9
grosjean_2019_5,2019,5,grosjean,haas,10
albon_2019_5,2019,5,albon,toro_rosso,11
ricciardo_2019_5,2019,5,ricciardo,renault,12
hulkenberg_2019_5,2019,5,hulkenberg,renault,13
raikkonen_2019_5,2019,5,raikkonen,alfa,14
perez_2019_5,2019,5,perez,racing_point,15
giovinazzi_2019_5,2019,5,giovinazzi,alfa,16
russell_2019_5,2019,5,russell,williams,17
kubica_2019_5,2019,5,kubica,williams,18
hamilton_2019_6,2019,6,hamilton,mercedes,1
