season,meeting_key,session_key,driver_number,position,dnf,number_of_laps
2025,1269,9904,63,2.0,False,51.0
2025,1269,9904,55,3.0,False,51.0
2025,1269,9904,12,4.0,False,51.0
2025,1269,9904,30,5.0,False,51.0
2025,1269,9904,22,6.0,False,51.0
2025,1269,9904,4,7.0,False,51.0
2025,1269,9904,44,8.0,False,51.0
2025,1269,9904,16,9.0,False,51.0
2025,1269,9904,6,10.0,False,51.0
2025,1269,9904,5,11.0,False,51.0
2025,1269,9904,87,12.0,False,51.0
2025,1269,9904,23,13.0,False,51.0
2025,1269,9904,31,14.0,False,51.0
2025,1269,9904,14,15.0,False,51.0
2025,1269,9904,27,16.0,False,51.0
2025,1269,9904,18,17.0,False,51.0
2025,1269,9904,10,18.0,False,50.0
2025,1269,9904,43,19.0,False,50.0
2025,1269,9904,81,,True,0.0
2025,1270,9896,63,1.0,False,62.0
2025,1270,9896,1,2.0,False,62.0
2025,1270,9896,4,3.0,False,62.0
2025,1270,9896,81,4.0,False,62.0
2025,1270,9896,12,5.0,False,62.0
2025,1270,9896,16,6.0,False,62.0
2025,1270,9896,14,7.0,False,62.0
2025,1270,9896,44,8.0,False,62.0
2025,1270,9896,87,9.0,False,62.0
2025,1270,9896,55,10.0,False,61.0
2025,1270,9896,6,11.0,False,61.0
2025,1270,9896,22,12.0,False,61.0
2025,1270,9896,18,13.0,False,61.0
2025,1270,9896,23,14.0,False,61.0
2025,1270,9896,30,15.0,False,61.0
2025,1270,9896,43,16.0,False,61.0
2025,1270,9896,5,17.0,False,61.0
2025,1270,9896,31,18.0,False,61.0
2025,1270,9896,10,19.0,False,61.0
2025,1270,9896,27,20.0,False,61.0
2025,1271,9888,1,1.0,False,56.0
2025,1271,9888,4,2.0,False,56.0
2025,1271,9888,16,3.0,False,56.0
2025,1271,9888,44,4.0,False,56.0
2025,1271,9888,81,5.0,False,56.0
2025,1271,9888,63,6.0,False,56.0
2025,1271,9888,22,7.0,False,56.0
2025,1271,9888,27,8.0,False,56.0
2025,1271,9888,87,9.0,False,56.0
2025,1271,9888,14,10.0,False,56.0
2025,1271,9888,30,11.0,False,56.0
2025,1271,9888,18,12.0,False,56.0
2025,1271,9888,12,13.0,False,56.0
2025,1271,9888,23,14.0,False,56.0
2025,1271,9888,31,15.0,False,56.0
2025,1271,9888,6,16.0,False,56.0
2025,1271,9888,43,17.0,False,55.0
2025,1271,9888,5,18.0,False,55.0
2025,1271,9888,10,19.0,False,55.0
2025,1271,9888,55,,True,5.0
2025,1272,9877,4,1.0,False,71.0
2025,1272,9877,16,2.0,False,71.0
2025,1272,9877,1,3.0,False,71.0
2025,1272,9877,87,4.0,False,71.0
2025,1272,9877,81,5.0,False,71.0
2025,1272,9877,12,6.0,False,71.0
2025,1272,9877,63,7.0,False,71.0
2025,1272,9877,44,8.0,False,71.0
2025,1272,9877,31,9.0,False,71.0
2025,1272,9877,5,10.0,False,71.0
2025,1272,9877,22,11.0,False,71.0
2025,1272,9877,23,12.0,False,70.0
