Driver,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,season,round
HAM,59.0,0 days 00:01:22.437000,0 days 00:00:29.163000,0 days 00:00:32.029000,0 days 00:00:21.245000,MEDIUM,29.0,3.0,2023,19
HAM,60.0,0 days 00:01:22.083000,0 days 00:00:29.065000,0 days 00:00:31.906000,0 days 00:00:21.112000,MEDIUM,30.0,3.0,2023,19
HAM,61.0,0 days 00:01:22.691000,0 days 00:00:29.033000,0 days 00:00:32.299000,0 days 00:00:21.359000,MEDIUM,31.0,3.0,2023,19
HAM,62.0,0 days 00:01:22.252000,0 days 00:00:28.970000,0 days 00:00:31.975000,0 days 00:00:21.307000,MEDIUM,32.0,3.0,2023,19
HAM,63.0,0 days 00:01:22.412000,0 days 00:00:29.245000,0 days 00:00:31.995000,0 days 00:00:21.172000,MEDIUM,33.0,3.0,2023,19
HAM,64.0,0 days 00:01:22.497000,0 days 00:00:29.149000,0 days 00:00:32.061000,0 days 00:00:21.287000,MEDIUM,34.0,3.0,2023,19
HAM,65.0,0 days 00:01:21.991000,0 days 00:00:28.928000,0 days 00:00:31.939000,0 days 00:00:21.124000,MEDIUM,35.0,3.0,2023,19
HAM,66.0,0 days 00:01:22.078000,0 days 00:00:28.916000,0 days 00:00:31.875000,0 days 00:00:21.287000,MEDIUM,36.0,3.0,2023,19
HAM,67.0,0 days 00:01:23.926000,0 days 00:00:29.340000,0 days 00:00:32.950000,0 days 00:00:21.636000,MEDIUM,37.0,3.0,2023,19
HAM,68.0,0 days 00:01:22.790000,0 days 00:00:29.041000,0 days 00:00:32.272000,0 days 00:00:21.477000,MEDIUM,38.0,3.0,2023,19
HAM,69.0,0 days 00:01:22.566000,0 days 00:00:29.089000,0 days 00:00:32.157000,0 days 00:00:21.320000,MEDIUM,39.0,3.0,2023,19
HAM,70.0,0 days 00:01:23.339000,0 days 00:00:29.170000,0 days 00:00:32.087000,0 days 00:00:22.082000,MEDIUM,40.0,3.0,2023,19
HAM,71.0,0 days 00:01:21.334000,0 days 00:00:28.633000,0 days 00:00:31.596000,0 days 00:00:21.105000,MEDIUM,41.0,3.0,2023,19
SAI,1.0,0 days 00:01:27.958000,,0 days 00:00:33.285000,0 days 00:00:21.445000,MEDIUM,1.0,1.0,2023,19
SAI,2.0,0 days 00:01:24.300000,0 days 00:00:29.486000,0 days 00:00:33.062000,0 days 00:00:21.752000,MEDIUM,2.0,1.0,2023,19
SAI,3.0,0 days 00:01:24.153000,0 days 00:00:29.408000,0 days 00:00:33.107000,0 days 00:00:21.638000,MEDIUM,3.0,1.0,2023,19
SAI,4.0,0 days 00:01:23.916000,0 days 00:00:29.349000,0 days 00:00:32.976000,0 days 00:00:21.591000,MEDIUM,4.0,1.0,2023,19
SAI,5.0,0 days 00:01:44.772000,0 days 00:00:40.785000,0 days 00:00:39.995000,0 days 00:00:23.992000,MEDIUM,5.0,1.0,2023,19
SAI,6.0,0 days 00:01:23.478000,0 days 00:00:29.247000,0 days 00:00:32.650000,0 days 00:00:21.581000,MEDIUM,6.0,1.0,2023,19
SAI,7.0,0 days 00:01:23.669000,0 days 00:00:29.244000,0 days 00:00:32.761000,0 days 00:00:21.664000,MEDIUM,7.0,1.0,2023,19
SAI,8.0,0 days 00:01:23.709000,0 days 00:00:29.256000,0 days 00:00:32.834000,0 days 00:00:21.619000,MEDIUM,8.0,1.0,2023,19
SAI,9.0,0 days 00:01:23.807000,0 days 00:00:29.357000,0 days 00:00:32.702000,0 days 00:00:21.748000,MEDIUM,9.0,1.0,2023,19
SAI,10.0,0 days 00:01:23.947000,0 days 00:00:29.272000,0 days 00:00:32.806000,0 days 00:00:21.869000,MEDIUM,10.0,1.0,2023,19
SAI,11.0,0 days 00:01:23.864000,0 days 00:00:29.201000,0 days 00:00:32.912000,0 days 00:00:21.751000,MEDIUM,11.0,1.0,2023,19
SAI,12.0,0 days 00:01:24.148000,0 days 00:00:29.280000,0 days 00:00:33.059000,0 days 00:00:21.809000,MEDIUM,12.0,1.0,2023,19
