AirTemp,Humidity,Rainfall,TrackTemp,WindSpeed,season,round
15.8,53.2,True,29.6,1.5,2018,5
15.8,54.1,True,29.4,1.7,2018,5
15.8,53.7,True,29.3,1.7,2018,5
15.9,53.3,True,29.6,2.0,2018,5
15.7,53.3,True,29.6,2.2,2018,5
15.7,53.3,True,29.1,1.5,2018,5
15.6,53.8,True,29.0,1.7,2018,5
15.6,54.5,True,28.9,2.2,2018,5
15.7,54.7,True,28.9,2.6,2018,5
15.7,54.7,True,28.8,2.2,2018,5
15.8,54.4,True,28.9,1.7,2018,5
15.6,54.0,True,29.0,2.6,2018,5
15.6,53.4,True,28.8,2.3,2018,5
15.7,54.3,True,29.2,2.2,2018,5
15.8,53.6,True,30.3,1.9,2018,5
15.9,52.5,True,30.9,1.8,2018,5
16.0,53.2,True,31.5,1.8,2018,5
16.1,52.2,True,31.7,1.4,2018,5
15.9,51.7,False,32.2,1.1,2018,5
15.9,52.5,True,32.0,1.8,2018,5
16.0,53.1,True,31.3,1.7,2018,5
16.2,52.6,True,30.7,1.4,2018,5
16.3,51.2,True,30.6,1.0,2018,5
16.1,51.2,True,30.3,0.8,2018,5
15.9,52.3,True,30.6,0.9,2018,5
16.0,53.6,True,31.2,1.0,2018,5
16.1,52.1,True,32.5,1.4,2018,5
16.1,52.4,True,33.0,2.5,2018,5
16.2,52.4,True,33.4,2.7,2018,5
16.5,51.9,True,34.0,2.2,2018,5
16.7,51.6,True,34.3,2.2,2018,5
16.8,49.9,True,32.3,2.5,2018,5
16.8,49.7,True,31.9,2.7,2018,5
16.3,49.5,True,31.3,2.7,2018,5
15.8,50.7,True,31.2,1.9,2018,5
15.9,51.5,True,31.1,2.1,2018,5
15.8,51.2,True,31.4,2.7,2018,5
15.8,52.2,True,31.4,1.5,2018,5
15.9,51.6,True,30.7,2.1,2018,5
16.0,51.7,True,30.7,2.7,2018,5
16.2,51.5,True,31.7,3.2,2018,5
15.9,51.1,True,32.5,2.0,2018,5
16.1,51.8,True,33.2,2.1,2018,5
16.5,51.0,True,33.2,2.2,2018,5
16.7,50.4,True,33.2,2.9,2018,5
16.7,50.4,True,33.2,2.9,2018,5
16.9,49.5,False,32.9,2.5,2018,5
16.7,50.4,False,32.4,2.2,2018,5
16.8,50.2,False,32.3,1.8,2018,5
17.0,49.1,False,32.4,2.4,2018,5
17.0,50.1,False,32.3,2.2,2018,5
17.1,49.6,False,31.6,2.3,2018,5
17.0,49.5,False,30.9,2.3,2018,5
16.9,49.5,False,30.7,2.3,2018,5
16.9,49.5,False,30.7,2.3,2018,5
16.5,51.2,False,29.8,2.4,2018,5
16.0,52.4,False,29.1,2.2,2018,5
16.0,53.2,True,29.3,2.0,2018,5
25.3,52.5,False,33.2,1.2,2018,6
25.6,51.3,False,33.5,0.9,2018,6
25.6,50.5,False,33.4,0.8,2018,6
25.6,50.8,False,33.4,0.8,2018,6
25.6,51.4,False,33.4,1.1,2018,6
25.6,51.4,False,33.4,1.1,2018,6
25.6,51.7,False,33.4,1.0,2018,6
25.6,51.6,False,33.6,0.5,2018,6
25.6,51.4,False,33.7,0.6,2018,6
25.8,50.6,True,33.8,0.8,2018,6
26.0,50.7,True,33.9,0.6,2018,6
26.0,50.7,True,33.9,0.6,2018,6
26.1,50.0,True,33.9,1.0,2018,6
26.5,48.9,True,33.6,1.7,2018,6
26.7,48.3,True,33.6,1.6,2018,6
26.7,48.2,True,34.5,0.9,2018,6
26.7,47.7,True,33.9,1.9,2018,6
26.7,47.7,True,33.8,1.7,2018,6
26.7,47.7,True,33.8,1.7,2018,6
26.8,46.1,True,33.8,1.0,2018,6
26.8,46.1,True,33.8,1.0,2018,6
26.8,45.9,True,33.7,1.4,2018,6
27.0,43.3,True,33.8,1.5,2018,6
27.1,43.6,False,34.0,2.4,2018,6
27.1,43.9,False,34.0,2.0,2018,6
27.2,43.8,False,33.7,1.0,2018,6
