RaceID,season,round,driver_id,constructor_id,finish_position,pred_finish_position,experimento,train_start,train_end,valid_season,decay
gasly_2025_10,2025,10,gasly,alpine,15,13.841687126231502,A,2018,2024,2025,0.95
hadjar_2025_10,2025,10,hadjar,rb,16,9.234272142730829,A,2018,2024,2025,0.95
stroll_2025_10,2025,10,stroll,aston_martin,17,14.139356672146102,A,2018,2024,2025,0.95
norris_2025_11,2025,11,norris,mclaren,1,2.5632673276596183,A,2018,2024,2025,0.95
piastri_2025_11,2025,11,piastri,mclaren,2,3.319736688116879,A,2018,2024,2025,0.95
leclerc_2025_11,2025,11,leclerc,ferrari,3,3.352212773795761,A,2018,2024,2025,0.95
hamilton_2025_11,2025,11,hamilton,ferrari,4,4.340718626439221,A,2018,2024,2025,0.95
russell_2025_11,2025,11,russell,mercedes,5,4.697187877478028,A,2018,2024,2025,0.95
lawson_2025_11,2025,11,lawson,rb,6,9.385941038642892,A,2018,2024,2025,0.95
alonso_2025_11,2025,11,alonso,aston_martin,7,10.362843992515058,A,2018,2024,2025,0.95
bortoleto_2025_11,2025,11,bortoleto,sauber,8,11.1825036159642,A,2018,2024,2025,0.95
hulkenberg_2025_11,2025,11,hulkenberg,sauber,9,14.06899344655531,A,2018,2024,2025,0.95
ocon_2025_11,2025,11,ocon,haas,10,13.05536859427865,A,2018,2024,2025,0.95
bearman_2025_11,2025,11,bearman,haas,11,13.471611869770355,A,2018,2024,2025,0.95
hadjar_2025_11,2025,11,hadjar,rb,12,11.172137285243663,A,2018,2024,2025,0.95
gasly_2025_11,2025,11,gasly,alpine,13,10.459551896335782,A,2018,2024,2025,0.95
stroll_2025_11,2025,11,stroll,aston_martin,14,13.744046054569,A,2018,2024,2025,0.95
colapinto_2025_11,2025,11,colapinto,alpine,15,13.864770554597516,A,2018,2024,2025,0.95
tsunoda_2025_11,2025,11,tsunoda,red_bull,16,12.529317525265869,A,2018,2024,2025,0.95
norris_2025_12,2025,12,norris,mclaren,1,2.9859726114258396,A,2018,2024,2025,0.95
piastri_2025_12,2025,12,piastri,mclaren,2,3.0909307695864046,A,2018,2024,2025,0.95
hulkenberg_2025_12,2025,12,hulkenberg,sauber,3,13.653851185386184,A,2018,2024,2025,0.95
hamilton_2025_12,2025,12,hamilton,ferrari,4,4.698261339451196,A,2018,2024,2025,0.95
max_verstappen_2025_12,2025,12,max_verstappen,red_bull,5,2.1234145436252008,A,2018,2024,2025,0.95
gasly_2025_12,2025,12,gasly,alpine,6,9.841673623233124,A,2018,2024,2025,0.95
stroll_2025_12,2025,12,stroll,aston_martin,7,12.95273202696934,A,2018,2024,2025,0.95
albon_2025_12,2025,12,albon,williams,8,11.57422536226061,A,2018,2024,2025,0.95
alonso_2025_12,2025,12,alonso,aston_martin,9,8.450591610010322,A,2018,2024,2025,0.95
russell_2025_12,2025,12,russell,mercedes,10,3.75042881380166,A,2018,2024,2025,0.95
bearman_2025_12,2025,12,bearman,haas,11,10.66485310614175,A,2018,2024,2025,0.95
sainz_2025_12,2025,12,sainz,williams,12,10.875283079684445,A,2018,2024,2025,0.95
ocon_2025_12,2025,12,ocon,haas,13,12.294538646233791,A,2018,2024,2025,0.95
leclerc_2025_12,2025,12,leclerc,ferrari,14,4.585414968340882,A,2018,2024,2025,0.95
tsunoda_2025_12,2025,12,tsunoda,red_bull,15,9.87506779794611,A,2018,2024,2025,0.95
piastri_2025_13,2025,13,piastri,mclaren,1,2.9361607193179933,A,2018,2024,2025,0.95
norris_2025_13,2025,13,norris,mclaren,2,2.294222859424454,A,2018,2024,2025,0.95
leclerc_2025_13,2025,13,leclerc,ferrari,3,3.9812989747362018,A,2018,2024,2025,0.95
max_verstappen_2025_13,2025,13,max_verstappen,red_bull,4,2.8327037077488284,A,2018,2024,2025,0.95
russell_2025_13,2025,13,russell,mercedes,5,5.8542592017033375,A,2018,2024,2025,0.95
albon_2025_13,2025,13,albon,williams,6,7.780795031874939,A,2018,2024,2025,0.95
hamilton_2025_13,2025,13,hamilton,ferrari,7,8.030913908518134,A,2018,2024,2025,0.95
lawson_2025_13,2025,13,lawson,rb,8,9.884514278698253,A,2018,2024,2025,0.95
bortoleto_2025_13,2025,13,bortoleto,sauber,9,12.159822639360586,A,2018,2024,2025,0.95
gasly_2025_13,2025,13,gasly,alpine,10,11.51555886961764,A,2018,2024,2025,0.95
bearman_2025_13,2025,13,bearman,haas,11,11.58032546036227,A,2018,2024,2025,0.95
hulkenberg_2025_13,2025,13,hulkenberg,sauber,12,11.593729916197994,A,2018,2024,2025,0.95
tsunoda_2025_13,2025,13,tsunoda,red_bull,13,8.295774354364914,A,2018,2024,2025,0.95
stroll_2025_13,2025,13,stroll,aston_martin,14,13.832134091502057,A,2018,2024,2025,0.95
ocon_2025_13,2025,13,ocon,haas,15,11.240287313607672,A,2018,2024,2025,0.95
antonelli_2025_13,2025,13,antonelli,mercedes,16,10.051022777500846,A,2018,2024,2025,0.95
alonso_2025_13,2025,13,alonso,aston_martin,17,13.393967663303862,A,2018,2024,2025,0.95
sainz_2025_13,2025,13,sainz,williams,18,13.000885334279296,A,2018,2024,2025,0.95
colapinto_2025_13,2025,13,colapinto,alpine,19,13.962305108990416,A,2018,2024,2025,0.95
hadjar_2025_13,2025,13,hadjar,rb,20,9.48608017973874,A,2018,2024,2025,0.95
norris_2025_14,2025,14,norris,mclaren,1,2.9156101870952176,A,2018,2024,2025,0.95
piastri_2025_14,2025,14,piastri,mclaren,2,2.9156101870952176,A,2018,2024,2025,0.95
russell_2025_14,2025,14,russell,mercedes,3,4.5395247209773295,A,2018,2024,2025,0.95
leclerc_2025_14,2025,14,leclerc,ferrari,4,3.4926489296853314,A,2018,2024,2025,0.95
alonso_2025_14,2025,14,alonso,aston_martin,5,8.013375394123454,A,2018,2024,2025,0.95
bortoleto_2025_14,2025,14,bortoleto,sauber,6,9.946023479747515,A,2018,2024,2025,0.95
stroll_2025_14,2025,14,stroll,aston_martin,7,9.365495568738433,A,2018,2024,2025,0.95
lawson_2025_14,2025,14,lawson,rb,8,9.297645268722711,A,2018,2024,2025,0.95
max_verstappen_2025_14,2025,14,max_verstappen,red_bull,9,5.372341051117488,A,2018,2024,2025,0.95
antonelli_2025_14,2025,14,antonelli,mercedes,10,10.645680285501832,A,2018,2024,2025,0.95
hadjar_2025_14,2025,14,hadjar,rb,11,10.765669640050037,A,2018,2024,2025,0.95
hamilton_2025_14,2025,14,hamilton,ferrari,12,6.737478503927992,A,2018,2024,2025,0.95
hulkenberg_2025_14,2025,14,hulkenberg,sauber,13,13.519199797493687,A,2018,2024,2025,0.95
sainz_2025_14,2025,14,sainz,williams,14,12.483518304673906,A,2018,2024,2025,0.95
albon_2025_14,2025,14,albon,williams,15,13.402050309276865,A,2018,2024,2025,0.95
ocon_2025_14,2025,14,ocon,haas,16,14.379212574940562,A,2018,2024,2025,0.95
tsunoda_2025_14,2025,14,tsunoda,red_bull,17,12.24838312192396,A,2018,2024,2025,0.95
colapinto_2025_14,2025,14,colapinto,alpine,18,14.415666967405343,A,2018,2024,2025,0.95
gasly_2025_14,2025,14,gasly,alpine,19,12.562575937557034,A,2018,2024,2025,0.95
piastri_2025_15,2025,15,piastri,mclaren,1,2.425739186668916,A,2018,2024,2025,0.95
max_verstappen_2025_15,2025,15,max_verstappen,red_bull,2,3.7374726726499343,A,2018,2024,2025,0.95
hadjar_2025_15,2025,15,hadjar,rb,3,7.904082698855263,A,2018,2024,2025,0.95
russell_2025_15,2025,15,russell,mercedes,4,4.93733775165094,A,2018,2024,2025,0.95
albon_2025_15,2025,15,albon,williams,5,12.694391444434645,A,2018,2024,2025,0.95
bearman_2025_15,2025,15,bearman,haas,6,14.95088767773544,A,2018,2024,2025,0.95
stroll_2025_15,2025,15,stroll,aston_martin,7,14.099996163594744,A,2018,2024,2025,0.95
alonso_2025_15,2025,15,alonso,aston_martin,8,9.787799476669043,A,2018,2024,2025,0.95
tsunoda_2025_15,2025,15,tsunoda,red_bull,9,10.750899395126197,A,2018,2024,2025,0.95
ocon_2025_15,2025,15,ocon,haas,10,14.837753338599395,A,2018,2024,2025,0.95
colapinto_2025_15,2025,15,colapinto,alpine,11,15.049126273533622,A,2018,2024,2025,0.95
lawson_2025_15,2025,15,lawson,rb,12,9.432902431050717,A,2018,2024,2025,0.95
sainz_2025_15,2025,15,sainz,williams,13,10.440502156917475,A,2018,2024,2025,0.95
hulkenberg_2025_15,2025,15,hulkenberg,sauber,14,13.082926748277394,A,2018,2024,2025,0.95
bortoleto_2025_15,2025,15,bortoleto,sauber,15,11.515541890584082,A,2018,2024,2025,0.95
antonelli_2025_15,2025,15,antonelli,mercedes,16,10.136207265647144,A,2018,2024,2025,0.95
gasly_2025_15,2025,15,gasly,alpine,17,13.164501319906906,A,2018,2024,2025,0.95
max_verstappen_2025_16,2025,16,max_verstappen,red_bull,1,2.200293775210153,A,2018,2024,2025,0.95
norris_2025_16,2025,16,norris,mclaren,2,2.897161371181368,A,2018,2024,2025,0.95
piastri_2025_16,2025,16,piastri,mclaren,3,2.897161371181368,A,2018,2024,2025,0.95
leclerc_2025_16,2025,16,leclerc,ferrari,4,4.1603464630613365,A,2018,2024,2025,0.95
russell_2025_16,2025,16,russell,mercedes,5,5.128877149130496,A,2018,2024,2025,0.95
hamilton_2025_16,2025,16,hamilton,ferrari,6,5.732990915927025,A,2018,2024,2025,0.95
albon_2025_16,2025,16,albon,williams,7,12.038707644430051,A,2018,2024,2025,0.95
bortoleto_2025_16,2025,16,bortoleto,sauber,8,10.415845543073884,A,2018,2024,2025,0.95
antonelli_2025_16,2025,16,antonelli,mercedes,9,8.607218048694397,A,2018,2024,2025,0.95
hadjar_2025_16,2025,16,hadjar,rb,10,12.964432787737337,A,2018,2024,2025,0.95
sainz_2025_16,2025,16,sainz,williams,11,12.458500556935336,A,2018,2024,2025,0.95
bearman_2025_16,2025,16,bearman,haas,12,10.790397443926334,A,2018,2024,2025,0.95
tsunoda_2025_16,2025,16,tsunoda,red_bull,13,9.908361621538507,A,2018,2024,2025,0.95
lawson_2025_16,2025,16,lawson,rb,14,13.864830713253266,A,2018,2024,2025,0.95
ocon_2025_16,2025,16,ocon,haas,15,13.534457636177017,A,2018,2024,2025,0.95
